Start Date,Start Time,End Date,End Time,Total Time
"19/07/2023","09:59","19/07/2023","14:41","282  minutes"
"23/07/2023","12:21","23/07/2023","13:00","39  minutes"
"23/07/2023","12:21","23/07/2023","13:04","43  minutes"
"23/07/2023","12:21","23/07/2023","13:09","49  minutes"
"23/07/2023","12:21","23/07/2023","13:09","49  minutes"
"23/07/2023","12:21","23/07/2023","13:10","50  minutes"
"23/07/2023","12:21","23/07/2023","13:11","51  minutes"
"23/07/2023","12:21","23/07/2023","13:20","60  minutes"
"23/07/2023","12:21","23/07/2023","13:26","65  minutes"
"23/07/2023","12:21","23/07/2023","13:29","68  minutes"
"23/07/2023","12:21","23/07/2023","13:30","69  minutes"
"23/07/2023","12:21","23/07/2023","13:31","70  minutes"
"23/07/2023","12:21","23/07/2023","13:33","73  minutes"
"23/07/2023","12:21","23/07/2023","13:35","74  minutes"
"23/07/2023","12:21","23/07/2023","13:45","85  minutes"
"23/07/2023","12:21","23/07/2023","13:47","86  minutes"
"23/07/2023","12:21","23/07/2023","13:48","87  minutes"
"23/07/2023","12:21","23/07/2023","13:51","90  minutes"
"23/07/2023","12:21","23/07/2023","14:10","110  minutes"
"23/07/2023","12:21","23/07/2023","14:11","110  minutes"
"23/07/2023","12:21","23/07/2023","14:13","112  minutes"
"23/07/2023","12:21","23/07/2023","14:14","113  minutes"
"23/07/2023","12:21","23/07/2023","14:15","114  minutes"
"23/07/2023","12:21","23/07/2023","14:16","115  minutes"
"23/07/2023","12:21","23/07/2023","14:18","117  minutes"
"23/07/2023","12:21","23/07/2023","14:19","118  minutes"
"23/07/2023","12:21","23/07/2023","14:20","120  minutes"
"23/07/2023","12:21","23/07/2023","14:21","120  minutes"
"23/07/2023","12:21","23/07/2023","14:21","120  minutes"
"23/07/2023","12:21","23/07/2023","14:22","121  minutes"
"23/07/2023","12:21","23/07/2023","14:25","124  minutes"
"23/07/2023","12:21","23/07/2023","14:25","124  minutes"
"23/07/2023","12:21","23/07/2023","14:26","125  minutes"
"23/07/2023","12:21","23/07/2023","14:27","126  minutes"
"23/07/2023","12:21","23/07/2023","14:28","127  minutes"
"23/07/2023","12:21","23/07/2023","14:29","128  minutes"
"23/07/2023","12:21","23/07/2023","14:30","129  minutes"
"23/07/2023","12:21","23/07/2023","14:31","130  minutes"
"23/07/2023","12:21","23/07/2023","14:32","131  minutes"
"23/07/2023","12:21","23/07/2023","14:33","132  minutes"
"23/07/2023","12:21","23/07/2023","14:35","134  minutes"
"23/07/2023","12:21","23/07/2023","14:36","135  minutes"
"23/07/2023","12:21","23/07/2023","14:37","136  minutes"
"23/07/2023","12:21","23/07/2023","14:38","137  minutes"
"23/07/2023","12:21","23/07/2023","14:39","138  minutes"
"23/07/2023","12:21","23/07/2023","14:40","139  minutes"
"23/07/2023","12:21","23/07/2023","14:41","140  minutes"
"23/07/2023","12:21","23/07/2023","14:42","141  minutes"
"23/07/2023","12:21","23/07/2023","14:43","142  minutes"
"23/07/2023","12:21","23/07/2023","14:44","143  minutes"
"23/07/2023","12:21","23/07/2023","14:45","144  minutes"
"23/07/2023","12:21","23/07/2023","14:46","145  minutes"
"23/07/2023","12:21","23/07/2023","14:48","147  minutes"
"23/07/2023","12:21","23/07/2023","14:49","148  minutes"
"23/07/2023","12:21","23/07/2023","14:50","149  minutes"
"23/07/2023","12:21","23/07/2023","14:51","150  minutes"
"23/07/2023","12:21","23/07/2023","14:52","151  minutes"
"23/07/2023","12:21","23/07/2023","14:54","153  minutes"
"23/07/2023","12:21","23/07/2023","14:56","155  minutes"
